44067	3.296225	1.002862	1
49483	4.837824	0.186524	1
70815	13.175611	0.018480	1
5283	1.447544	1.203980	2
35360	11.727192	0.919579	3
68178	6.120560	1.293421	1
13293	2.780304	0.799057	2
5208	5.991417	0.704641	2
38129	9.244492	0.750222	3
13097	11.330979	1.016669	3
14265	3.998465	0.466350	2
35175	2.003685	1.532911	1
33928	4.697044	0.519714	3
11835	4.473278	0.522815	2
54560	11.049425	1.116058	3
30707	11.285621	0.496166	3
62996	5.010645	1.324458	1
14323	6.127856	1.223115	2
4808	2.835276	1.117862	2
31008	3.018262	0.199862	1
21841	11.847883	0.847727	3
37669	11.554168	0.852123	3
38371	11.405358	0.079324	3
77197	14.112074	1.289828	1
6172	5.060543	0.020862	2
11578	13.708150	0.064157	3
45344	14.419649	0.815824	3
9463	0.831459	0.946141	2
11337	5.437077	1.287797	2
24829	4.498731	0.973694	3
11977	4.456194	1.252084	2
7199	0.000000	1.364786	2
4375	4.158362	0.119097	2
8244	0.000000	0.634945	2
16717	3.046100	0.205512	2
47824	4.942689	0.774355	1
45863	3.405149	1.137606	1
20986	12.546964	0.591187	3
61055	6.749043	0.165312	1
14362	2.008691	0.424061	2
45549	5.328911	1.499401	1
67569	0.000000	0.823934	1
12974	6.395969	0.340158	2
31773	10.730527	1.581777	3
72018	12.147643	0.199573	1
18468	2.466245	1.564999	2
3548	4.472681	0.518683	2
45313	14.906119	0.490828	3
42121	9.687641	0.200752	3
10121	5.636783	1.403241	2
11102	3.821678	0.518254	2
11086	0.163569	0.608225	2
10251	1.583732	0.665066	2
58463	4.909903	0.681544	1
68258	3.796982	0.029597	1
14353	0.346369	1.399646	2
33274	11.416253	1.533107	3
34193	8.198794	1.351106	3
41543	7.473490	0.918306	3
73830	7.179566	0.468535	1
27540	9.922801	1.233495	3
3852	4.937002	1.358223	2
7640	1.826094	0.404745	2
38638	9.296820	1.574202	3
46470	2.361279	0.093560	1
75137	13.654423	0.773037	1
7741	4.542787	1.263079	2
70607	8.192583	0.072253	1
72049	17.936099	1.354100	1
10481	1.988923	1.652321	2
40048	9.784631	1.306976	3
17208	1.414862	1.451883	2
45646	2.166937	0.159136	1
15106	0.000000	1.691822	2
66033	10.598163	1.132505	1
4013	4.893210	0.807147	2
31050	5.673544	0.099370	3
16248	7.219863	1.458721	2
30431	10.199588	1.672385	3
36651	5.670161	1.157936	1
18007	1.553824	0.345790	2
75020	16.273637	0.058356	1
9462	0.943493	0.717714	2
0	2.972673	1.613438	2
27415	12.401183	1.577969	3
8386	2.714314	1.141215	2
43868	2.098881	1.103855	1
70825	11.012820	0.870359	1
12997	2.164056	0.619056	2
31050	8.004353	0.901554	3
82523	20.064344	0.573287	1
57637	3.075298	0.944867	1
49603	1.171648	0.745688	1
38765	8.993509	1.051362	3
77300	17.810143	0.374766	1
70173	12.242566	1.661920	1
11599	2.515163	1.457178	2
4361	6.084281	0.616522	2
34249	8.556906	0.901875	3
15642	0.102975	1.136225	2
35038	13.464797	0.214244	3
2952	1.119994	1.314052	2
17041	3.931065	1.433503	2
8445	5.122395	0.355505	2
39765	5.949671	0.127188	3
5858	0.000000	0.400725	2
15379	0.000000	0.519161	2
36129	8.976546	1.144120	3
38782	7.874871	0.362710	3
